"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","UPEX-100: should fail without token","smoke","2026-08-29","passed","2026-08-29","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","456","UPEX-100: should be able to re-authenticate","smoke","2026-08-29","passed","2026-08-29","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","4166","UI Setup: authenticate via UI","ui-setup","2026-08-29","passed","2026-08-29","","setup/ui-auth.setup.ts","",""
"","912","API Setup: authenticate via API","api-setup","2026-08-29","passed","2026-08-29","","setup/api-auth.setup.ts","",""
"","359","UPEX-100: should get current user with valid token","smoke","2026-08-29","passed","2026-08-29","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Setup: prepare environment","global-setup","2026-08-29","passed","2026-08-29","","setup/global.setup.ts","",""
"","918","UPEX-200: should access user info via API with session token","smoke","2026-08-29","passed","2026-08-29","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","1958","UPEX-200: should load dashboard with authenticated session","smoke","2026-08-29","passed","2026-08-29","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-29","passed","2026-08-29","","teardown/global.teardown.ts","",""
