"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","Global Setup: prepare environment","global-setup","2026-08-25","passed","2026-08-25","","setup/global.setup.ts","",""
"","553","UPEX-200: should access user info via API with session token","smoke","2026-08-25","passed","2026-08-25","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","76","UPEX-100: should fail without token","smoke","2026-08-25","passed","2026-08-25","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","2497","UI Setup: authenticate via UI","ui-setup","2026-08-25","passed","2026-08-25","","setup/ui-auth.setup.ts","",""
"","1322","UPEX-200: should load dashboard with authenticated session","smoke","2026-08-25","passed","2026-08-25","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","241","UPEX-100: should get current user with valid token","smoke","2026-08-25","passed","2026-08-25","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","475","API Setup: authenticate via API","api-setup","2026-08-25","passed","2026-08-25","","setup/api-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-25","passed","2026-08-25","","teardown/global.teardown.ts","",""
"","280","UPEX-100: should be able to re-authenticate","smoke","2026-08-25","passed","2026-08-25","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
