"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","UPEX-100: should get current user with valid token","smoke","2026-09-16","passed","2026-09-16","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","737","UPEX-200: should access user info via API with session token","smoke","2026-09-16","passed","2026-09-16","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","2158","API Setup: authenticate via API","api-setup","2026-09-16","passed","2026-09-16","","setup/api-auth.setup.ts","",""
"","3","Global Setup: prepare environment","global-setup","2026-09-16","passed","2026-09-16","","setup/global.setup.ts","",""
"","272","UPEX-100: should fail without token","smoke","2026-09-16","passed","2026-09-16","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-16","passed","2026-09-16","","teardown/global.teardown.ts","",""
"","4822","UI Setup: authenticate via UI","ui-setup","2026-09-16","passed","2026-09-16","","setup/ui-auth.setup.ts","",""
"","406","UPEX-100: should be able to re-authenticate","smoke","2026-09-16","passed","2026-09-16","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1490","UPEX-200: should load dashboard with authenticated session","smoke","2026-09-16","passed","2026-09-16","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
