"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","626","API Setup: authenticate via API","api-setup","2026-09-06","passed","2026-09-06","","setup/api-auth.setup.ts","",""
"","118","UPEX-100: should fail without token","smoke","2026-09-06","passed","2026-09-06","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1161","UPEX-200: should load dashboard with authenticated session","smoke","2026-09-06","passed","2026-09-06","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3167","UI Setup: authenticate via UI","ui-setup","2026-09-06","passed","2026-09-06","","setup/ui-auth.setup.ts","",""
"","2","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-06","passed","2026-09-06","","teardown/global.teardown.ts","",""
"","2","Global Setup: prepare environment","global-setup","2026-09-06","passed","2026-09-06","","setup/global.setup.ts","",""
"","317","UPEX-100: should be able to re-authenticate","smoke","2026-09-06","passed","2026-09-06","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","268","UPEX-100: should get current user with valid token","smoke","2026-09-06","passed","2026-09-06","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","636","UPEX-200: should access user info via API with session token","smoke","2026-09-06","passed","2026-09-06","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
