"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","UPEX-100: should be able to re-authenticate","smoke","2026-08-30","passed","2026-08-30","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","1430","UPEX-200: should load dashboard with authenticated session","smoke","2026-08-30","passed","2026-08-30","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3432","UI Setup: authenticate via UI","ui-setup","2026-08-30","passed","2026-08-30","","setup/ui-auth.setup.ts","",""
"","2","Global Setup: prepare environment","global-setup","2026-08-30","passed","2026-08-30","","setup/global.setup.ts","",""
"","122","UPEX-100: should fail without token","smoke","2026-08-30","passed","2026-08-30","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","659","UPEX-200: should access user info via API with session token","smoke","2026-08-30","passed","2026-08-30","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","2","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-30","passed","2026-08-30","","teardown/global.teardown.ts","",""
"","685","API Setup: authenticate via API","api-setup","2026-08-30","passed","2026-08-30","","setup/api-auth.setup.ts","",""
"","236","UPEX-100: should get current user with valid token","smoke","2026-08-30","passed","2026-08-30","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
