"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1743","UPEX-200: should load dashboard with authenticated session","smoke","2026-09-22","passed","2026-09-22","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-22","passed","2026-09-22","","teardown/global.teardown.ts","",""
"","407","UPEX-100: should be able to re-authenticate","smoke","2026-09-22","passed","2026-09-22","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","324","UPEX-100: should get current user with valid token","smoke","2026-09-22","passed","2026-09-22","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","2480","API Setup: authenticate via API","api-setup","2026-09-22","passed","2026-09-22","","setup/api-auth.setup.ts","",""
"","722","UPEX-200: should access user info via API with session token","smoke","2026-09-22","passed","2026-09-22","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-09-22","passed","2026-09-22","","setup/global.setup.ts","",""
"","125","UPEX-100: should fail without token","smoke","2026-09-22","passed","2026-09-22","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","4407","UI Setup: authenticate via UI","ui-setup","2026-09-22","passed","2026-09-22","","setup/ui-auth.setup.ts","",""
