"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2307","API Setup: authenticate via API","api-setup","2026-09-21","passed","2026-09-21","","setup/api-auth.setup.ts","",""
"","3789","UI Setup: authenticate via UI","ui-setup","2026-09-21","passed","2026-09-21","","setup/ui-auth.setup.ts","",""
"","245","UPEX-100: should get current user with valid token","smoke","2026-09-21","passed","2026-09-21","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","75","UPEX-100: should fail without token","smoke","2026-09-21","passed","2026-09-21","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","255","UPEX-100: should be able to re-authenticate","smoke","2026-09-21","passed","2026-09-21","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","558","UPEX-200: should access user info via API with session token","smoke","2026-09-21","passed","2026-09-21","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-21","passed","2026-09-21","","teardown/global.teardown.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-09-21","passed","2026-09-21","","setup/global.setup.ts","",""
"","1259","UPEX-200: should load dashboard with authenticated session","smoke","2026-09-21","passed","2026-09-21","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
