"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","645","UPEX-200: should access user info via API with session token","smoke","2026-09-18","passed","2026-09-18","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","1726","UPEX-200: should load dashboard with authenticated session","smoke","2026-09-18","passed","2026-09-18","UPEX-200: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","368","UPEX-100: should get current user with valid token","smoke","2026-09-18","passed","2026-09-18","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","4374","UI Setup: authenticate via UI","ui-setup","2026-09-18","passed","2026-09-18","","setup/ui-auth.setup.ts","",""
"","10","Global Setup: prepare environment","global-setup","2026-09-18","passed","2026-09-18","","setup/global.setup.ts","",""
"","2250","API Setup: authenticate via API","api-setup","2026-09-18","passed","2026-09-18","","setup/api-auth.setup.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","2026-09-18","passed","2026-09-18","","teardown/global.teardown.ts","",""
"","410","UPEX-100: should be able to re-authenticate","smoke","2026-09-18","passed","2026-09-18","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
"","187","UPEX-100: should fail without token","smoke","2026-09-18","passed","2026-09-18","UPEX-100: User Session API","integration/auth/user-session.test.ts","",""
